,Item Categorisation,,,,,,,,,,,,,,,,,,,,,,,,
1,Ting Thai,Mee Gratiam Family Meal,Asian,Noodles,Wok-Fried Noodles,"Chicken, Beef, Prawn, Duck",,,,Chicken,Beef,Prawn,Duck,,,,,,,,,,,,
1,Zumuku,Chicken Yakisoba,Asian,Noodles,Yakisoba,Chicken,,,,Chicken,,,,,,,,,,,,,,,
0,Zumuku Sushi,Chicken Yakisoba,Asian,Noodles,Yakisoba,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Shaku Maku,Shaku Maku Family Platter (Maqluba + chicken rolls + fatoush salad + hummus + baba ghanoush with bread),Middle Eastern,Other,Maqluba,Chicken ,,,,Chicken,,,,,,,,,,,,,,,
1,TUK TUK-SGroup,"Wings, Fries & Beansprout Salad",Asian,Other,Chicken Wings,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Umi Falafel,Family Mezze Feast ( Lentil soup + hummus + baba ghanoush + 20pc falafel +Haloumi sticks + bread and tahini sauce ),Middle Eastern,Other,Mezze,"Falafel, Halloumi",,,,Falafel,Halloumi,,,,,,,,,,,,,,
1,Bella Italia,Mix & Match Family Bundle,Italian,Pasta,"Lasagne, Mac & Cheese, Rigatoni, Alfredo","Chicken, Beef",,,,Chicken,Beef,,,,,,,,,,,,,,
1,Bella Italia,Chicken Alfredo Family Bundle,Italian,Pasta,Alfredo,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Bella Italia,Mac & Cheese Family Bundle,Italian,Pasta,Mac & Cheese,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
1,Bella Italia,Tomato & Red Pepper Rigatoni Family Bundle,Italian,Pasta,Rigatoni,"Tomato, Red Pepper",,,,Tomato,Red Pepper,,,,,,,,,,,,,,
1,Bill's,Family Mac N Cheese with Brisket,Italian,Pasta,Mac & Cheese,Beef,,,,Beef,,,,,,,,,,,,,,,
1,Bill's,Family Mac N Cheese,Italian,Pasta,Mac & Cheese,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
0,Bill's,Family Mac & Cheese with Brisket,Italian,Pasta,Mac & Cheese,Beef,,,,Beef,,,,,,,,,,,,,,,
1,Bill's,Family Mac N Cheese with Bacon,Italian,Pasta,Mac & Cheese,Pork,,,,Pork,,,,,,,,,,,,,,,
1,Bill's,Family Mac N Cheese with Chicken,Italian,Pasta,Mac & Cheese,Chicken,,,,Chicken,,,,,,,,,,,,,,,
0,Bill's,Family Mac & Cheese,Italian,Pasta,Mac & Cheese,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
0,Bill's,Family Mac & Cheese with Bacon,Italian,Pasta,Mac & Cheese,Pork,,,,Pork,,,,,,,,,,,,,,,
0,Bill's,Family Mac & Cheese with Chicken,Italian,Pasta,Mac & Cheese,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Cacciari's,Penne Porcini and Wild Mushrooms Suitable for a Family of 4,Italian,Pasta,Penne,Mushroom,,,,Mushroom,,,,,,,,,,,,,,,
1,Cacciari's,Penne with Traditional basil pesto Suitable for a Family of 4,Italian,Pasta,Penne,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
1,Milano,Family Pasta Feast,Italian,Pasta,"Lasagne, Penne","Beef, Chicken, Tomato",,,,Beef,Chicken,Tomato,,,,,,,,,,,,,
1,Pho,Fresh from the wok,Asian,Noodles,Wok-Fried Noodles,"Chicken, Tofu, Mushroom",Note: Multiple options for kids,,,Chicken,Tofu,Mushroom,,,,,,,,,,,,,
1,PIZAZA-SGroup,Family Rose Pasta,Italian,Pasta,Rose Pasta,Tomato,,,,Tomato,,,,,,,,,,,,,,,
1,PIZAZA-SGroup,Family Alfredo Pasta,Italian,Pasta,Alfredo,Mushroom,,,,Mushroom,,,,,,,,,,,,,,,
1,PIZAZA-SGroup,Family Tomato Sauce Pasta,Italian,Pasta,Penne,Tomato,,,,Tomato,,,,,,,,,,,,,,,
