,Top Items by Rx,,,,,,,
,,,,,,,,
,,,,,,,,
,Source,https://deliveroo.looker.com/explore/general/denormalised_items?qid=bOVMdZQRGnuvbnyvlrxHxe&toggle=fil,,,,,,
,,,,,,,,
,Salesforce Sf Global Brand,Menu items Menu Item Operational Name,Restaurant Information Restaurant Name,Key Fields Restaurant ID,"Common Business Segments Orders count (delivered, rejected, cancelled, et al.)",,,Dish
,Pho,Pho the whole fam,Pho - Cardiff,195214,112,,,Pho
,Farmer J,Family Chicken Dinner,Farmer J - Farringdon,692260,111,,,Grain Bowl
,Banana Tree,🍜Pad Thai Bundle For Four🍜,"3113002 - Banana Tree Thai, Vietnamese, Vegan - West Hampstead",421,111,,,Noodles
,Chaska,"Home-Style Butter Chicken Meal ( 16oz Butter Chicken, 12oz Tadka Dal, 1 Jeera Aloo and 2 Portion Fluffy Rice)",Chaska,158447,110,,,South Asian / Indian Curry
,Banana Tree,🍜Pad Thai Bundle For Four🍜,"3113016 - Banana Tree Thai, Vietnamese, Vegan - Greenwich",592325,108,,,Noodles
,Wagamama,family chicken katsu,Wagamama - Islington - 118,12410,108,,,Katsu
,Pho,It's a curry night,Pho - Reading,60050,107,,,East Asian Curry
,Pho,It's a curry night,Pho - Norwich,638624,106,,,East Asian Curry
,Kricket,Butter Chicken,Kricket - Bermondsey,415550,105,,,South Asian / Indian Curry
,Wagamama,family chicken katsu,Wagamama - Bluewater - 180,143012,105,,,Katsu
,Dishoom,Dishoom Mattar Paneer – for the family,Dishoom - Editions - CRE,512053,104,,,South Asian / Indian Curry
,Yacob's Kitchen,Chicken Shawarma Dinneroo Platter,Jakob's Kitchen - Editions - BSY,548105,104,,,Grain Bowl
,Wagamama,family chicken katsu,Wagamama - Manchester Didsbury - 256,183212,103,,,Katsu
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"3113017 - Banana Tree Thai, Vietnamese, Vegan - Bath",590532,103,,,Rice Bowl
,Ting Thai,Pad Thai Family Meal,Ting Thai Lothian Road,235544,102,,,Noodles
,Pho,It's a curry night,Pho - Editions - CRE,266756,101,,,East Asian Curry
,Pho,Pho the whole fam,Pho - Spitalfields,1023,101,,,Pho
,Wagamama,family chicken katsu,Wagamama - Watford Central - 192,12422,100,,,Katsu
,Banana Tree,🍜Pad Thai Bundle For Four🍜,"3113008 - Banana Tree Thai, Vietnamese, Vegan - Oxford",11309,98,,,Noodles
,Pho,Pho the whole fam,Pho - Sheffield,224574,98,,,Pho
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"3113013 - Banana Tree Thai, Vietnamese, Vegan - Reigate",549925,98,,,Rice Bowl
,Giggling Squid,Family Thai Curry Bundle,Giggling Squid - Wimbledon,69500,98,,,East Asian Curry
,Wagamama,family chicken katsu,Wagamama - Chelmsford - 248,164101,97,,,Katsu
,Yacob's Kitchen,Chicken Shawarma Dinneroo Platter,Yacob's Kitchen,689710,97,,,Grain Bowl
,Cocotte,Family Feast One,Cocotte - Parsons Green,235344,96,,,Protein & Veg 
,Wagamama,family chicken katsu,Wagamama - Norwich Riverside - 279,515851,96,,,Katsu
,Pho,It's a curry night,Pho - Milton Keynes,560308,96,,,East Asian Curry
,Pho,It's a curry night,Pho - Cambridge,13797,95,,,East Asian Curry
,Pho,Fresh from the wok,Pho - Editions - DUL,409502,95,,,Fried Rice
,Wagamama,family chicken katsu,Wagamama - Richmond - 126,12415,95,,,Katsu
,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,Giggling Squid - Guildford,10037,94,,,Rice Bowl
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,3113021 - Banana Tree Thai Vietnamese Vegan - Stevenage,647418,94,,,Rice Bowl
,Pho,Fresh from the wok,Pho - Brighton,931,92,,,Fried Rice
,Wagamama,family chicken katsu,Wagamama - Putney - 128,12414,92,,,Katsu
,Banana Tree,🍜Pad Thai Bundle For Four🍜,"3113004 - Banana Tree Thai, Vietnamese, Vegan - Angel Islington",148,91,,,Noodles
,Wagamama,family chicken katsu,Wagamama - Canary Wharf - 121,12405,91,,,Katsu
,Wagamama,family chicken katsu,Wagamama - Hammersmith - 199,12409,90,,,Katsu
,Itsu,sushi family feast,itsu - Cambridge Sidney Street,27292,89,,,Sushi
,Wagamama,family chicken katsu,Wagamama - Cambridge Leisure - 257,193364,89,,,Katsu
,Pho,Fresh from the wok,Pho - Oxford,65830,88,,,Fried Rice
,Itsu,sushi family feast,itsu - Bristol Broadmead,38578,88,,,Sushi
,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,Giggling Squid - Wimbledon,69500,88,,,Rice Bowl
,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,Giggling Squid - Chislehurst,184453,88,,,Rice Bowl
,Pho,It's a curry night,Pho - Birmingham - High Street Harborne,690853,88,,,East Asian Curry
,Pho,It's a curry night,Pho - Canary Wharf,515404,87,,,East Asian Curry
,TUK TUK-SGroup,Sweet and Sour Chicken & Egg Fried Rice,TUK TUK - Golders Green,318272,86,,,Fried Rice
,Pho,It's a curry night,Pho - Greenwich,666157,86,,,East Asian Curry
,Pho,Fresh from the wok,Pho - Cambridge,13797,86,,,Fried Rice
,Ting Thai,Pad Thai Family Meal,Ting Thai Teviot Place,108377,86,,,Noodles
,Wagamama,family chicken katsu,Wagamama - Windsor - 147,41185,86,,,Katsu
,Giggling Squid,Family Thai Curry Bundle,Giggling Squid - Clifton,4980,85,,,East Asian Curry
,Wagamama,family chicken katsu,Wagamama - Bath - 150,7009,85,,,Katsu
,Pho,Pho the whole fam,Pho - Guildford,83905,84,,,Pho
,Wagamama,family chicken katsu,Wagamama - Southampton Westquay - 191,11932,84,,,Katsu
,Wagamama,family chicken katsu,Wagamama - Hatfield Gelleria - 280,531242,83,,,Katsu
,Pho,It's a curry night,Pho - Canterbury,570820,82,,,East Asian Curry
,Wagamama,family chicken katsu,Wagamama - Edinburgh Lothian Road - 177,6989,82,,,Katsu
,Wagamama,family chicken katsu,Wagamama - Nottingham - 111,12086,82,,,Katsu
,Yacob's Kitchen,Chicken Shawarma Dinneroo Platter,Jakob's Kitchen - Belsize Park,418622,81,,,Grain Bowl
