,Order Ratings,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Source,"https://deliveroo.looker.com/explore/general/denormalised_items?qid=UmJupobT7qqc29ZvPmg6AI&toggle=fil,vis",,,,,,,,,,
,,,,,,,,,,,,
,Sf Global Brand,Menu Item Operational Name,"Orders count (delivered, rejected, cancelled, et al.)",Orders rating - avg,Orders with a rating - cnt,Orders with a rating - %,,,,Dish Categorisation 1,Dish Categorisation 2,Dish Categorisation 3
,Dishoom,Awadhi Jackfruit Biryani – for the family,379,4.73,60,0.16,,283.8,,Biryani,,
,Remedy Kitchen,Salmon Dinneroo Platter,62,4.73,11,0.18,,52.03,,Grain Bowl,,
,Dishoom,Dishoom Mattar Paneer – for the family,820,4.72,112,0.14,,528.64,,South Asian / Indian Curry,,
,Itsu,sushi family feast,"1,519",4.72,205,0.14,,967.6,,Sushi,,
,Banana Tree,🍜Pad Thai Bundle For Four🍜,"1,233",4.72,157,0.13,,741.04,,Noodles,,
,Farmer J,Mix & Match Family Dinner,431,4.72,67,0.16,,316.24,,Grain Bowl,,
,Cacciari's,Lasagna Suitable for a Family of 4,177,4.7,27,0.16,,126.9,,Lasagne,,
,Bella Italia,Lasagne Family Bundle,141,4.7,20,0.15,,94,,Lasagne,,
,Asia Villa,4x Massaman Curry with Rice and Tofu,30,4.67,6,0.2,,28.02,,East Asian Curry,,
,Dishoom,Chicken Berry Britannia – for the family,"1,960",4.64,322,0.17,,1494.08,,Biryani,,
,Pho,It's a curry night,"2,865",4.64,416,0.15,,1930.24,,East Asian Curry,,
,Xian Street Food,Honey Chicken Family Meal (Honey Chicken (main) + Curry Chicken + Fried rice + boiled rice ),43,4.63,8,0.2,,37.04,,Rice Bowl,,
,Xian Street Food,Honey Chicken and Stir Fry Veggie Family Meal ( Honey Chicken (main) + Fried rice + Stir-Fry Mixed Vegetables + 2 Veg Spring Rolls),28,4.6,5,0.18,,23,,Rice Bowl,,
,Farmer J,Family Chicken Dinner,897,4.6,121,0.14,,556.6,,Grain Bowl,,
,Bill's,Family Halloumi Shawarma,107,4.59,22,0.21,,100.98,,Shawarma,,
,Pho,Pho the whole fam,"6,100",4.57,919,0.15,,4199.83,,Pho,,
,Pho,Fresh from the wok,"2,025",4.56,313,0.16,,1427.28,,Fried Rice,Noodles,Rice Bowl
,Chaska,"Home-Style Butter Chicken Meal ( 16oz Butter Chicken, 12oz Tadka Dal, 1 Jeera Aloo and 2 Portion Fluffy Rice)",163,4.55,20,0.13,,91,,South Asian / Indian Curry,,
,Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,82,4.54,13,0.16,,59.02,,Rice Bowl,,
,Bill's,Family Mac N Cheese with Brisket,246,4.53,45,0.18,,203.85,,Pasta,,
,Bill's,Family Mac & Cheese with Brisket,150,4.53,30,0.2,,135.9,,Pasta,,
,Bill's,Family Chicken Shawarma,852,4.53,152,0.18,,688.56,,Shawarma,,
,Banana Tree,🍛Katsu Rice Bowl Bundle For Four,245,4.51,39,0.16,,175.89,,Katsu,,
,Zumuku,Rice Bowl - Salmon Teriyaki,13,4.5,4,0.31,,18,,Rice Bowl,,
,Asia Villa,4x Family Style Phad Thai with Korean Chicken,43,4.5,6,0.15,,27,,Noodles,,
,Yacob's Kitchen,Falafel Dinneroo Platter,88,4.5,20,0.23,,90,,Grain Bowl,,
,Zumuku,Chicken or Tofu Katsu Curry,17,4.5,4,0.25,,18,,Katsu,,
,Tula Ireland,"Tula Main, Tula Nachos & Kids Quesadilla Family Dinneroo Feast",10,4.5,2,0.2,,9,,Burrito / Burrito Bowl,Tacos,
,Kricket,Keralan Prawn,102,4.5,20,0.2,,90,,South Asian / Indian Curry,,
,Kokoro,Kokoro Family Bundle,262,4.45,22,0.08,,97.9,,Katsu,Noodles,Rice Bowl
,Bill's,Family Mac & Cheese,85,4.44,9,0.11,,39.96,,Pasta,,
,Giggling Squid,Family Spicy Bundle,507,4.42,92,0.19,,406.64,,East Asian Curry,,
,Las Iguanas,Fajitas Family of Four Bundle,255,4.42,48,0.19,,212.16,,Fajitas,,
,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,"1,689",4.42,248,0.15,,1096.16,,Rice Bowl,,
,Ting Thai,Yellow Curry Family Meal,40,4.4,5,0.13,,22,,East Asian Curry,,
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"2,410",4.39,365,0.15,,1602.35,,Rice Bowl,,
,PizzaExpress,Family Pasta Feast,920,4.39,140,0.16,,614.6,,Pasta,,
,Cocotte,Family Feast One,438,4.39,83,0.19,,364.37,,Protein & Veg ,,
,Ting Thai,Massaman Curry Family Meal,124,4.38,16,0.13,,70.08,,East Asian Curry,,
,Wagamama,family yasai katsu,530,4.34,85,0.16,,368.9,,Katsu,,
,Itsu,poke’bowl family selection,112,4.33,9,0.08,,38.97,,Poke,,
,Asia Villa,4x Traditional Chow Mein with Sweet Chili Chicken,91,4.33,15,0.17,,64.95,,Noodles,,
,Saravana Bhavan,Saravana Bhavan Family Bundle,101,4.33,15,0.15,,64.95,,South Asian / Indian Curry,,
,SOYO-SGroup,Family Rose Pasta Bake,9,4.33,3,0.33,,12.99,,Pasta,,
,Bill's,Family Shepherd's Pie,441,4.33,80,0.19,,346.4,,Shepherd's Pie,,
,Cocotte,Family Feast Two,235,4.31,39,0.17,,168.09,,Protein & Veg ,,
,Kricket,Matar Paneer,56,4.3,10,0.18,,43,,South Asian / Indian Curry,,
,Tiffin Tin,Family Royal Forest Curry,26,4.3,10,0.4,,43,,South Asian / Indian Curry,,
,Bill's,Family Mac N Cheese with Bacon,117,4.3,27,0.23,,116.1,,Pasta,,
,Ting Thai,Mee Gratiam Family Meal,33,4.29,7,0.22,,30.03,,Noodles,,
,SOYO-SGroup,Family Rice noodles stir fried,34,4.29,7,0.23,,30.03,,Noodles,,
,Las Iguanas,Fajitas Family of Three Bundle,281,4.28,50,0.18,,214,,Fajitas,,
,Kricket,Butter Chicken,389,4.25,59,0.15,,250.75,,South Asian / Indian Curry,,
,Bill's,Family Shiitake Mushroom Shawarma,76,4.25,8,0.11,,34,,Shawarma,,
,Prezzo,Super Green Pesto Rigatoni,44,4.25,12,0.29,,51,,Pasta,,
,LEON,Big Bundle for 4,261,4.24,33,0.13,,139.92,,Grain Bowl,,
,Wagamama,family chicken katsu,"7,800",4.24,"1,071",0,,4541.04,,Katsu,,
,Bill's,Family Mac N Cheese,159,4.23,26,0.16,,109.98,,Pasta,,
,Wagamama,family tofu coconut + lemongrass curry,363,4.22,72,0.2,,303.84,,East Asian Curry,,
,Milano,Family Pasta Feast,79,4.2,10,0.13,,42,,Pasta,,
,Wagamama,family chicken coconut + lemongrass curry,"1,148",4.19,198,0.18,,829.62,,East Asian Curry,,
,Giggling Squid,Family Thai Curry Bundle,"1,326",4.19,219,0.17,,917.61,,East Asian Curry,,
,Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,75,4.18,11,0.15,,45.98,,Rice Bowl,,
,PizzaExpress,Family Favourites Feast,"2,802",4.17,376,0.14,,1567.92,,Pasta,Pizza,
,Bella Italia,Mix & Match Family Bundle,621,4.16,91,0.15,,378.56,,Pasta,,
,Asia Villa,4x Asia Villa Special Fried Rice with Salt and Pepper Chicken,143,4.14,22,0.16,,91.08,,Fried Rice,,
,Bill's,Family Mac N Cheese with Chicken,105,4.13,15,0.15,,61.95,,Pasta,,
,Zambrero UK,Family Tacos Kit,64,4.07,15,0.23,,61.05,,Tacos,,
,PizzaExpress,Family Pizza Feast,824,4.05,96,0.12,,388.8,,Pizza,,
,Xian Street Food,Honey Chicken Family Meal ( Honey Chicken (main) + Curry Chicken + Fried rice + Boiled Rice ),1,4,1,1,,4,,Rice Bowl,,
,Taste Of Hong Kong-DCN,纯肉双拼家庭套餐，含2炒饭+青菜+3小笼包,42,4,4,0.1,,16,,Rice Bowl,,
,SOYO-SGroup,Family Roasted Vegetable lasagne,45,4,7,0.16,,28,,Lasagne,,
,Kokoro,KOKORO Family Bundle,1,4,1,1,,4,,Katsu,Noodles,Rice Bowl
,SOYO-SGroup,Family Pasta Bake,7,4,2,0.33,,8,,Pasta,,
,Tadka House,"1000g Butter Chicken, 2 Rice, 1 Chips, 1 Naan & Poopadoms",13,4,2,0.15,,8,,South Asian / Indian Curry,,
,Asia Villa,4x  Family Style Phad Thai with Sweet Chilli Chicken,22,4,2,0.09,,8,,Noodles,,
,Bill's,Family Mac & Cheese with Chicken,55,4,7,0.13,,28,,Pasta,,
,TUK TUK-SGroup,Sweet and Sour Chicken & Egg Fried Rice,86,4,14,0.16,,56,,Fried Rice,,
,Milano,Family Favourites Feast,163,4,28,0.17,,112,,Pasta,Pizza,
,Umi Falafel,Family Mezze Feast ( Lentil soup + hummus + baba ghanoush + 20pc falafel +Haloumi sticks + bread and tahini sauce ),3,4,1,0.5,,4,,Other,,
,Xian Street Food,Sweet and Sour Chicken Family Meal (Sweet and Sour Chicken +  Boiled rice + Dumpling + 4 in 1),24,4,2,0.08,,8,,Rice Bowl,,
,Las Iguanas,Mixed Bundle For Four,243,3.98,42,0.18,,167.16,,Chilli,Fajitas,
,Las Iguanas,Chilli Bundle for Three,126,3.89,19,0.15,,73.91,,Chilli,,
,Prezzo,Family Dinneroo,80,3.86,7,0.09,,27.02,,Pasta,Pizza,
,Itsu,hot faves family bundle,382,3.84,63,0.17,,241.92,,Katsu,Noodles,Rice Bowl
,LEON,Family Favourites Feast,140,3.82,22,0.16,,84.04,,Pasta,,
,Tula Ireland,"Tula Main, Quesadilla, Kids Quesadilla, Bag of Corn Tortilla Chips & Dip",12,3.67,3,0.25,,11.01,,Burrito / Burrito Bowl,Tacos,
,atis,Build Your Own Family Feast,36,3.6,5,0.16,,18,,Grain Bowl,,
,Bella Italia,Chicken Alfredo Family Bundle,87,3.5,8,0.09,,28,,Pasta,,
,Cacciari's,Penne Porcini and Wild Mushrooms Suitable for a Family of 4,39,3.5,2,0.05,,7,,Pasta,,
