,Top Items by Rx Zone,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,https://deliveroo.looker.com/explore/general/denormalised_items?qid=Ghs6zuJE4cqOFV4A0zCCRB&toggle=fil,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Salesforce Sf Global Brand,Menu items Menu Item Operational Name,Location Zone Code,"Common Business Segments Orders count (delivered, rejected, cancelled, et al.)",Updated count,,,,Count dish,Ranked 1,,,Dish,Count dish type,Ranked 1,Ranked 2,Ranked 3,Ranked 4,Ranked 5,,,,,% Ranked 1,% Ranked 5
99,Wagamama,family chicken katsu,STA,118,118.000099,1,1STA,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
100,Pho,Pho the whole fam,YOR,116,116.0001,1,1YOR,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
101,Cocotte,Family Feast One,EC,116,116.000101,1,1EC,,5,1,20%,,Protein & Veg ,16,1,2,3,1,0,,,,Protein & Veg ,6%,44%
102,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,BNC,115,115.000102,4,4BNC,,37,9,24%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
103,Wagamama,family chicken katsu,WOT,115,115.000103,1,1WOT,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
104,Dishoom,Dishoom Mattar Paneer – for the family,CNN,115,115.000104,4,4CNN,,11,0,0%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
105,Wagamama,family chicken katsu,HAM,115,115.000105,2,2HAM,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
106,Kricket,Butter Chicken,BRX,114,114.000106,1,1BRX,,3,2,67%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
107,Farmer J,Mix & Match Family Dinner,SBU,114,114.000107,2,2SBU,,6,0,0%,,Grain Bowl,102,4,6,1,4,3,,,,Grain Bowl,4%,18%
108,Pho,It's a curry night,KIN,113,113.000108,3,3KIN,,43,1,2%,,East Asian Curry,331,3,32,32,20,15,,,,East Asian Curry,1%,31%
109,Pho,Pho the whole fam,BOU,113,113.000109,2,2BOU,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
110,Pho,It's a curry night,BRK,113,113.00011,5,5BRK,,43,1,2%,,East Asian Curry,331,3,32,32,20,15,,,,East Asian Curry,1%,31%
111,Yacob's Kitchen,Chicken Shawarma Dinneroo Platter,CLA,113,113.000111,7,7CLA,,7,1,14%,,Grain Bowl,102,4,6,1,4,3,,,,Grain Bowl,4%,18%
112,Pho,It's a curry night,YOR,112,112.000112,2,2YOR,,43,1,2%,,East Asian Curry,331,3,32,32,20,15,,,,East Asian Curry,1%,31%
113,Pho,Pho the whole fam,CAR,112,112.000113,1,1CAR,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
114,Banana Tree,🍜Pad Thai Bundle For Four🍜,HAM,111,111.000114,3,3HAM,,17,1,6%,,Noodles,143,3,9,11,12,18,,,,Noodles,2%,37%
115,Farmer J,Family Chicken Dinner,EC,109,109.000115,2,2EC,,6,3,50%,,Grain Bowl,102,4,6,1,4,3,,,,Grain Bowl,4%,18%
116,Wagamama,family chicken katsu,ISL,108,108.000116,6,6ISL,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
117,Banana Tree,🍜Pad Thai Bundle For Four🍜,LEW,108,108.000117,3,3LEW,,17,1,6%,,Noodles,143,3,9,11,12,18,,,,Noodles,2%,37%
118,Pho,It's a curry night,REA,107,107.000118,3,3REA,,43,1,2%,,East Asian Curry,331,3,32,32,20,15,,,,East Asian Curry,1%,31%
119,Pho,It's a curry night,NOR,106,106.000119,3,3NOR,,43,1,2%,,East Asian Curry,331,3,32,32,20,15,,,,East Asian Curry,1%,31%
120,Kricket,Butter Chicken,SUR,105,105.00012,3,3SUR,,3,2,67%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
121,Wagamama,family chicken katsu,DRT,105,105.000121,1,1DRT,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
122,Yacob's Kitchen,Chicken Shawarma Dinneroo Platter,SUR,104,104.000122,4,4SUR,,7,1,14%,,Grain Bowl,102,4,6,1,4,3,,,,Grain Bowl,4%,18%
123,Dishoom,Dishoom Mattar Paneer – for the family,FCH,104,104.000123,4,4FCH,,11,0,0%,,South Asian / Indian Curry,56,18,5,2,7,4,,,,South Asian / Indian Curry,32%,64%
124,Wagamama,family chicken katsu,DID,103,103.000124,1,1DID,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
125,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,BTH,103,103.000125,1,1BTH,,19,11,58%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
126,Pho,It's a curry night,FCH,101,101.000126,5,5FCH,,43,1,2%,,East Asian Curry,331,3,32,32,20,15,,,,East Asian Curry,1%,31%
127,Pho,Pho the whole fam,EC,101,101.000127,3,3EC,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
128,Wagamama,family chicken katsu,WAT,100,100.000128,1,1WAT,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
129,Giggling Squid,Family Thai Curry Bundle,WIM,98,98.000129,3,3WIM,,37,2,5%,,East Asian Curry,331,3,32,32,20,15,,,,East Asian Curry,1%,31%
130,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,REI,98,98.00013,1,1REI,,19,11,58%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
131,Banana Tree,🍜Pad Thai Bundle For Four🍜,OXF,98,98.000131,4,4OXF,,17,1,6%,,Noodles,143,3,9,11,12,18,,,,Noodles,2%,37%
