,Zone X Dish Mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SRH,Shoreham,Brighton,South East England,South England and Wales,8,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,19,9,0,2,6,0,0,,4,6,2,2,0,5,4,0,2,1,0,3,3,1,0,0,0,0,0,0,1,1,0,1,,36,TRUE,,25,9,2,0,2,4
,HVNT,Havant,Portsmouth,South West and Wales,South England and Wales,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,TRUE,,1,1,2,0,0,0
,BOHV,Bournebridge/ Havering,London,Commuter Belt North,Greater London,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,10,4,0,0,0,0,0,,0,2,0,4,0,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,TRUE,,9,2,2,0,0,0
,ABI,Abingdon,Oxford,South East England,South England and Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,TRUE,,0,0,0,0,0,0
,SOUE,Southampton East,Southampton,South West and Wales,South England and Wales,7,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,9,18,0,0,6,3,1,,1,14,0,1,0,4,3,0,3,0,0,3,3,1,0,3,0,0,0,0,0,0,1,0,,37,TRUE,,16,10,5,0,0,3
,BRX,Brixton,London,CL Grow,Core London,12,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,23,8,7,8,3,3,1,,6,6,8,3,5,5,5,2,2,1,0,0,0,0,0,3,1,1,0,1,1,1,1,1,,53,TRUE,,34,9,3,0,3,3
,GRE,Greenwich,London,OL South,Greater London,11,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,31,8,4,5,0,3,1,,6,6,5,8,2,6,6,2,2,2,0,0,0,0,0,3,0,0,0,0,1,1,1,1,,52,TRUE,,34,6,3,0,3,2
,AYL,Aylesbury,Aylesbury,South East England,South England and Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,TRUE,,0,0,0,0,0,0
,CAM,Cambridge,Cambridge,South East England,South England and Wales,8,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,21,13,0,0,6,3,1,,4,10,0,2,0,7,4,0,2,1,0,3,3,1,0,3,0,0,0,0,1,1,1,1,,44,TRUE,,26,11,3,0,2,4
,DID,Didsbury and Withington,Manchester,North West England,North England,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,5,4,0,0,0,0,0,,0,2,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,TRUE,,5,2,2,0,0,0
,NPSS,Newport Pagnell Service Station,Milton Keynes,South East England,South England and Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,TRUE,,0,0,0,0,0,0
,MOS,Moseley,Birmingham,Midlands,North England,8,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,17,4,0,2,9,0,0,,5,2,2,2,0,5,3,0,2,1,0,3,3,0,0,0,1,1,0,1,1,0,0,0,,32,TRUE,,25,10,2,0,0,4
,WAN,Wandsworth,London,CL Heartland,Core London,16,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,,31,8,4,11,3,6,1,,8,6,11,5,2,7,7,2,2,1,3,0,0,0,0,3,1,1,0,1,1,1,1,1,,64,TRUE,,43,9,3,0,3,2
,SUA,Stratford upon Avon,Coventry,Midlands,North England,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,4,0,0,0,0,0,,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,TRUE,,2,2,2,0,0,0
