,Top Items,,,,,
,,,,,,
,,,,,,
,Source,"https://deliveroo.looker.com/explore/general/denormalised_items?qid=aAOBBRYz5onas70gkurK2y&toggle=fil,vis",,,,
,,6 Oct - 12 Dec,,,,
,,,,,,
,Sf Global Brand,Menu Item Operational Name,"Orders count (delivered, rejected, cancelled, et al.)",,Number of Rx,Average Items per Rx
,PIZAZA-SGroup,Family Tomato Sauce Pasta,6,,3,2
,Zambrero UK,Family Nachos Kit,6,,11,1
,Tula Ireland,Family Quesadilla Dinneroo Feast,6,,0,0
,Zaatar Rathmines,Pizza Feast ( Cheese & Zaatar manaeesh + Margharita pizza + hummus + tabouleh),5,,1,5
,Zumuku,Chicken Yakisoba,4,,1,4
,Asia Villa,4x Massaman Curry with Rice and Tofu,4,,5,1
,Umi Falafel,Family Mezze Feast ( Lentil soup + hummus + baba ghanoush + 20pc falafel +Haloumi sticks + bread and tahini sauce ),3,,3,1
,Chaska,"Veg Biryani For The Table ( 2portions Biryani served with Dal, Raita and Papads )",3,,4,1
,Xian Street Food,Honey Chicken Family Meal (Honey Chicken (main) + Curry Chicken + Fried rice + Boiled Rice),3,,5,1
,Zumuku Sushi,Chicken Raisukare,2,,1,2
,Zumuku,Chicken Raisukare,2,,1,2
,Tiffin Tin,Family Royal Forest Curry,2,,6,0
,Tiffin Tin,Family Chicken Aloo Mutter,2,,6,0
,Wagamama,family tofu coconut + lemongrass curry,2,,103,0
,The Salad Project,The Satay Family Style,2,,0,0
,Zumuku Sushi,Chicken Yakisoba,1,,1,1
,Zumuku,Rice Bowl - Chicken Teriyaki,1,,1,1
,Zumuku Sushi,Rice Bowl - Chicken Teriyaki,1,,1,1
,Xian Street Food,Honey Chicken Family Meal ( Honey Chicken (main) + Curry Chicken + Fried rice + Boiled Rice ),1,,5,0
,atis,Tofu Family Feast,1,,9,0
,Kokoro,KOKORO Family Bundle,1,,19,0
