,,Shawarma,10,1%,10%,,4.5,90%,86%,,,0.3,1.0,,,,57%,,,,,,Shawarma,0.4,0.1,0.3,,1.0,1.0,1.0,,,,,,,,,Shawarma,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
,,Tacos,7,0%,18%,,4.1,,,3.2,,0.4,0.9,,,,84%,,,,,,Tacos,0.3,0.0,0.6,,0.9,,,1.0,,,,,,,,Tacos,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
,,Burrito / Burrito Bowl,7,0%,0%,,,,,2.5,,0.1,#DIV/0!,,,,84%,,,,,,Burrito / Burrito Bowl,0.2,0.0,0.0,,,,,0.8,,,,,,,,Burrito / Burrito Bowl,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
,,Quesadilla,6,0%,0%,,,,,3.2,,0.1,#DIV/0!,,,,99%,,,,,,Quesadilla,0.2,0.0,0.0,,,,,1.0,,,,,,,,Quesadilla,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
,,Nachos,1,0%,0%,,,,,,,0.0,#DIV/0!,,,,85%,,,,,,Nachos,0.0,0.0,0.0,,,,,,,,,,,,,Nachos,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
,,Pho,136,56%,100%,,4.6,92%,89%,2.2,,4.2,1.1,,"Pho brand + customisation likely contributes to high score (while adult dish is a pho, kids can choose from a variety of dishes (fried rice, noodles, pho))",,48%,,,,,,Pho,4.8,7.6,3.5,,1.0,1.1,1.1,0.7,,,,,,,,Pho,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
,,Poke,3,0%,0%,,,,,,,0.1,#DIV/0!,,,,63%,,,,,,Poke,0.1,0.0,0.0,,,,,,,,,,,,,Poke,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
,,Shepherd's Pie,11,3%,8%,,4.3,91%,100%,4.4,,0.3,1.1,,,,57%,,,,,,Shepherd's Pie,0.4,0.4,0.3,,1.0,1.1,1.2,1.4,,,,,,,,Shepherd's Pie,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
,,Sushi,32,8%,56%,,4.7,93%,81%,,,1.5,1.0,,,,63%,,,,,,Sushi,1.1,1.1,2.0,,1.1,1.1,1.0,,,,,,,,,Sushi,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
,Dishes not on Dinneroo,Casserole / Stew,,,,,,,,4.3,,#DIV/0!,#DIV/0!,,,,100%,,,,,Dishes not on Dinneroo,Casserole / Stew,,,,,,,,1.4,,,,,,,Dishes not on Dinneroo,Casserole / Stew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FRAN - DO WE THINK THIS IS TOO NICHE TO INCLUDE?,,Risotto,,,,,,,,3.6,,#DIV/0!,#DIV/0!,,,,100%,,,,,,Risotto,,,,,,,,1.2,,,,,,,,Risotto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FRAN - DO WE THINK THIS IS TOO NICHE TO INCLUDE?,,Tagine,,,,,,,,3.3,,#DIV/0!,#DIV/0!,,,,100%,,,,,,Tagine,,,,,,,,1.1,,,,,,,,Tagine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
