ZONE_NAME,UNIQUE_DISH_COMBINATIONS,UNIQUE_PARTNERS,UNIQUE_BRANDS,TOTAL_ORDERS,AVG_RATING
Sevenoaks,23,2,2,26,4.200000
Oakwood and Chapeltown,22,1,1,23,4.750000
Altrincham and Hale,22,1,1,23,4.200000
Stanmore,22,1,1,22,5.000000
Beeston,14,1,1,21,2.000000
Sheffield,18,1,1,18,5.000000
East Barnet,17,1,1,17,4.400000
Leyton,15,1,1,17,3.500000
Rotherham,17,1,1,17,4.000000
Eastleigh Central,16,1,1,16,3.000000
Borehamwood,15,1,1,16,4.000000
Saltdean,16,2,2,16,5.000000
Portsmouth,15,1,1,15,
Woolwich,8,1,1,15,5.000000
Belfast,14,2,1,14,5.000000
Farnborough,14,1,1,14,2.333333
Orpington,6,1,1,13,5.000000
Greater Leeds,10,1,1,13,1.000000
Crystal Palace / Penge,9,1,1,11,4.666667
Belfast Central,11,1,1,11,5.000000
Slough,5,1,1,11,5.000000
Hillfields,10,1,1,10,
Waterloo & Southbank,9,2,2,9,1.000000
Epping,9,1,1,9,5.000000
Maidstone,5,1,1,9,
Belfast East,8,1,1,8,1.000000
Leatherhead,7,1,1,7,4.000000
Glasgow Centre East,6,1,1,6,5.000000
New Earswick and Huntington,5,1,1,5,
Letchworth Garden City,4,1,1,4,
Port Solent,3,1,1,3,1.000000
Euston,2,1,1,2,
