ZONE_NAME,CITY_NAME,DINNEROO_PARTNER_COUNT,DINNEROO_CUISINE_COUNT,TOTAL_DINNEROO_ORDERS,CUISINES_AVAILABLE,order_count,avg_rating,rating_count,unique_dishes,score_cuisine,score_partners,score_dishes,score_performance,score_quality,composite_score,rank
Golders Green / Brent Cross,London,4,2,213,"Asian Fusion, Kosher",275,4.0,48.0,111,2,4,8,7,6,56.5,91
Harrow,London,4,3,76,"indian, italian, sushi",126,4.333333333333333,15.0,156,4,4,8,4,8,56.0,92
Balham,London,2,2,179,"Vietnamese, italian",265,4.435897435897436,39.0,107,2,1,8,7,8,55.0,93
Harpenden,London,2,2,107,"italian, thai",169,4.470588235294118,17.0,112,2,1,8,7,8,55.0,94
Greenwich,London,2,2,232,"Asian, japanese",332,4.487804878048781,41.0,101,2,1,8,7,8,55.0,95
Newbury,Reading,3,3,106,"Burgers, italian, sushi",148,4.478260869565218,23.0,140,4,2,8,4,8,53.0,96
Kingsbury Green/ The Hyde,London,2,2,115,"italian, japanese",168,4.137931034482759,29.0,107,2,1,8,7,6,52.0,97
Berkhamsted,London,2,2,76,"italian, thai",109,4.733333333333333,15.0,107,2,1,8,4,10,50.5,98
Winchester,Southampton,3,3,68,"Movie Night Restaurants, japanese, thai",126,4.0,16.0,101,4,2,8,4,6,50.0,99
Chingford,London,3,3,53,"Asian, Tacos, italian",77,4.2,10.0,114,4,2,8,4,6,50.0,100
Braintree,Chelmsford,4,3,94,"Burgers, italian, japanese",151,3.9047619047619047,21.0,187,4,4,8,4,4,50.0,101
Finchley,London,1,1,205,japanese,308,4.2,50.0,121,1,1,8,7,6,50.0,102
Camberley,Camberley,2,2,223,"italian, japanese",319,3.972972972972973,37.0,142,2,1,8,7,4,49.0,103
Enfield,London,2,2,201,"italian, japanese",302,3.8679245283018866,53.0,143,2,1,8,7,4,49.0,104
Hatfield/ Hatfield Park,London,3,2,96,"Asian, italian",160,4.388888888888889,18.0,119,2,2,8,4,8,49.0,105
Manchester Central,Manchester,3,2,13,"Vietnamese, japanese",156,4.363636363636363,22.0,104,2,2,8,4,8,49.0,106
