dish_clean,total_orders,kid_total,kid_friendly_measured,adult_total,adult_appeal_measured,portion_total,portion_flexibility_measured,value_at_25_measured,balanced_measured
"can't remember all the names,, katsu, gyoza",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
can't remember the name but the £25 one,1,,,1.0,5.0,1.0,5.0,5.0,
cauliflower green thai curry,1,,,1.0,5.0,1.0,1.0,,5.0
"chargrilled chicken thigh with sticky rice, wok fried noodles, noodle soup x2",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
"chckn noodles, chicken shrimp fried rice",1,,,1.0,5.0,1.0,5.0,,
cheese pasta with beef brisket,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"chichen and mushroom creamy pesto pasta for 2, lasagne for 2 garlic bread",1,,,1.0,5.0,1.0,5.0,5.0,
chichen curry,2,2.0,2.0,2.0,5.0,2.0,2.0,2.0,
chicke berry biriyani family dinner,1,,,1.0,5.0,1.0,1.0,5.0,
chicken,13,5.0,3.0,13.0,3.0,13.0,3.0,1.0,1.0
chicken aioli boxes and nuggets,1,1.0,5.0,1.0,5.0,1.0,5.0,,
"chicken aioli, chicken nuggets and chips, chicken and rice, coleslaw, chips, brownie, lemon crunch, smoothie",1,1.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0
chicken alfredo pasta and rigatoni,1,,,1.0,1.0,1.0,1.0,5.0,
"chicken alfredo, lasagna, and mac and cheese",1,,,1.0,5.0,1.0,5.0,5.0,
"chicken alfredo, lasagne, garlic ciabatta",1,,,1.0,5.0,1.0,5.0,5.0,
chicken and rice,2,2.0,2.0,2.0,5.0,2.0,5.0,5.0,2.0
"chicken and roast potatoes, caesar salad",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
chicken and shrimp rice x 2 and one kids chicken rice and one kids chicken broth w noodles,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
chicken and side dishes,1,1.0,1.0,1.0,1.0,1.0,1.0,,
chicken and sides,1,,,1.0,5.0,1.0,5.0,5.0,
chicken and sides (salad & potatoes),1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
chicken and vegan pho,1,,,1.0,5.0,1.0,5.0,5.0,5.0
chicken berry,2,1.0,5.0,2.0,5.0,2.0,5.0,5.0,
chicken berry biryani,1,,,1.0,5.0,1.0,1.0,5.0,
chicken berry britannia,1,,,1.0,5.0,1.0,1.0,5.0,
chicken berry britannia - for the family,1,,,1.0,5.0,1.0,5.0,,5.0
"chicken berry britannia - for the family, garlic naan, lamb chettinad",1,,,1.0,5.0,1.0,5.0,5.0,
chicken berry britannia – for the family,1,,,1.0,5.0,1.0,5.0,5.0,
