dish_clean,total_orders,kid_total,kid_friendly_measured,adult_total,adult_appeal_measured,portion_total,portion_flexibility_measured,value_at_25_measured,balanced_measured
pasta pizza lasagne,1,,,1.0,5.0,1.0,5.0,,5.0
pasta rose,1,1.0,5.0,1.0,5.0,1.0,5.0,,
pasta selection,1,,,1.0,5.0,1.0,5.0,5.0,
"pasta, pizza",1,,,1.0,5.0,1.0,5.0,5.0,5.0
"pasta, pizza, pad thai",2,2.0,5.0,2.0,5.0,2.0,5.0,,
pasta/pizza and the chicken roast with salad ootion,1,,,1.0,5.0,1.0,5.0,,
pastas,1,,,1.0,1.0,1.0,5.0,5.0,
"peperoni pizza, pasta sharer, garlic bread, dough balls",1,,,1.0,1.0,1.0,5.0,5.0,
"pepperoni pizza, garlic bread, chicken and mushroom penne",1,,,1.0,5.0,1.0,5.0,5.0,
"pepperoni pizza, lasagne, salad",1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
pesto and chicken pasta and garlic bread,1,1.0,1.0,1.0,1.0,1.0,5.0,,
pesto chicken pasta,1,1.0,5.0,1.0,5.0,1.0,5.0,,
"pesto chicken pasta, lasagna, cheesy garlic bread",1,,,1.0,1.0,1.0,1.0,,
pesto pasta,1,,,1.0,5.0,1.0,1.0,5.0,
"pesto pasta, lasagne",1,1.0,1.0,1.0,1.0,1.0,5.0,5.0,
pham thai bundle for 4 with sweetcorn fritter x2 and salt and pepper chips x1,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
pho,13,8.0,4.0,13.0,5.0,12.0,5.0,2.0,1.0
pho & chicken fired rice,1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
pho & stir fried noodles,1,1.0,5.0,1.0,1.0,1.0,5.0,,5.0
pho - noodle soups,1,1.0,5.0,1.0,5.0,1.0,5.0,,5.0
pho and curries on separate occasions!,1,,,1.0,5.0,1.0,5.0,5.0,5.0
pho and egg fried rice,2,2.0,2.0,2.0,5.0,2.0,5.0,,2.0
pho and katsu,1,,,1.0,1.0,1.0,1.0,5.0,
pho and noodles,1,,,1.0,5.0,1.0,5.0,5.0,
pho and stir-fried noodles,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
pho and two kids noodles with chicken,1,1.0,5.0,1.0,5.0,1.0,1.0,,
pho brisket and noodles,1,1.0,5.0,1.0,5.0,1.0,5.0,,5.0
pho bundle,1,1.0,5.0,1.0,5.0,1.0,5.0,,
"pho chicken soup , pho beef broth soup, chicken fried rice and chicken noodles family offer  noodles",1,,,1.0,5.0,1.0,5.0,,5.0
pho chicken x3 pho beef,1,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0
"pho chicken, pho brisket, chicken fried ricex2, prawn crackers, sprite, coke zero",1,,,1.0,5.0,1.0,5.0,,
pho family dinner,1,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0
pho for 4,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"pho fried rice, chargrilled chicken and some others",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
pho package,1,,,1.0,5.0,1.0,5.0,,5.0
pho soup,1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0
pho soup deal with some extra kids meals,1,,,1.0,5.0,1.0,5.0,5.0,
"pho soup, wok fried noodles",1,,,1.0,5.0,1.0,5.0,5.0,5.0
pho soups and rice bowls,1,,,1.0,5.0,1.0,5.0,5.0,5.0
pho soups and rice with chicken,1,1.0,5.0,1.0,5.0,1.0,5.0,,
pho the family,1,,,1.0,5.0,1.0,5.0,5.0,
pho the whole fam,4,1.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0
"pho the whole fam (prawn crackers, 2x beef brisket pho noodle soup, 2x egg fried rice chicken)",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
"pho the whole fam - prawn crackers, beef brisket pho noodle soup, wok-fried noodles with chicken, wok-fried noodles with chicken, spicy chicken pho noodle soup",1,,,1.0,5.0,1.0,5.0,5.0,5.0
pho the whole family,2,2.0,5.0,2.0,5.0,2.0,5.0,5.0,2.0
"pho with chicken (2), fried rice and noodles",1,,,1.0,5.0,1.0,5.0,5.0,5.0
"pho x 2, kids fried rice x2",1,,,1.0,5.0,1.0,5.0,,
"pho x 3, noodles",1,,,1.0,5.0,1.0,5.0,5.0,
pho x2 and fried noodles,1,1.0,5.0,1.0,5.0,1.0,5.0,,
pho x2 and kids meal x2,1,,,1.0,5.0,1.0,5.0,5.0,
"pho, egg fried",1,1.0,5.0,1.0,5.0,1.0,5.0,,
"pho, egg fried rice, chicken salad, rice bowl",1,1.0,1.0,1.0,5.0,1.0,5.0,,5.0
"pho, fried rice, fried noodles",1,,,1.0,5.0,1.0,5.0,5.0,
"pho, fried rice.",1,,,1.0,5.0,1.0,5.0,,
"pho, prawn crackers, fried rice",1,,,1.0,5.0,1.0,5.0,5.0,5.0
"pho, rice and noodles combo",1,,,1.0,5.0,1.0,5.0,5.0,
"pho, stir fry",1,1.0,5.0,1.0,5.0,1.0,5.0,,5.0
"phos, egg fried rice and noodles",1,,,1.0,5.0,1.0,5.0,5.0,
picked chicken and ceasar salad set,1,,,1.0,1.0,1.0,1.0,,5.0
pizza,6,3.0,5.0,6.0,4.0,6.0,5.0,1.0,
pizza & lasagne,1,,,1.0,1.0,1.0,5.0,,
pizza & pasta,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
pizza & pasta deal,1,1.0,5.0,1.0,5.0,1.0,1.0,,
pizza and kids meals,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
pizza and lasagna,2,2.0,5.0,2.0,5.0,2.0,5.0,2.0,
pizza and lasagne,1,1.0,5.0,1.0,1.0,1.0,5.0,,
pizza and pasta,7,5.0,3.0,7.0,5.0,7.0,5.0,3.0,
pizza and pasta and garlic bread,1,,,1.0,1.0,1.0,5.0,5.0,
pizza and pasta and salad,1,,,1.0,5.0,1.0,5.0,,
pizza and pasta bundle,1,1.0,5.0,1.0,5.0,1.0,5.0,,
pizza and pasta combo,1,1.0,5.0,1.0,5.0,1.0,5.0,,
pizza and pasta deal,2,1.0,5.0,2.0,5.0,2.0,5.0,,
pizza and pasta family combo,1,,,1.0,5.0,1.0,5.0,5.0,
pizza and pasta special,1,1.0,5.0,1.0,1.0,1.0,5.0,5.0,
pizza deal,1,,,1.0,5.0,1.0,5.0,5.0,
pizza feast,1,1.0,5.0,1.0,5.0,1.0,5.0,,
pizza for me and the kids,1,1.0,5.0,1.0,5.0,1.0,5.0,,
pizza garlic bread and lasagna,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
pizza menu,1,1.0,1.0,1.0,5.0,1.0,5.0,,
pizza pasta,2,1.0,5.0,2.0,5.0,2.0,5.0,5.0,
pizza pasta and garlic bread (all vegan),1,,,1.0,5.0,1.0,5.0,,
pizza pasta garlic bread,2,1.0,5.0,2.0,5.0,2.0,2.0,,
pizza pasta mix,1,,,1.0,1.0,1.0,1.0,,
pizza pasta n garlic bread,1,1.0,5.0,1.0,1.0,1.0,1.0,,
pizza x2 and frie,1,1.0,1.0,1.0,1.0,1.0,5.0,,
"pizza, dough balls,",1,,,1.0,5.0,1.0,5.0,,
"pizza, garlic bread, pasta",1,,,1.0,5.0,1.0,5.0,5.0,
"pizza, gluten free pasta, chicken goujons, salad, dough balls, garlic mozzarella pizza,",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
"pizza, lasagna",1,1.0,1.0,1.0,1.0,1.0,5.0,,
"pizza, lasagna and garlic bread",1,,,1.0,5.0,1.0,5.0,,
"pizza, lasagne and garlic bread",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"pizza, lasagne sharer and mozzarella garlic bread",1,1.0,1.0,1.0,1.0,1.0,1.0,,
"pizza, lasagne, calamari, mozzarella fries, garlic bread tiramisu",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"pizza, pasta and garlic pizza",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"pizza, pasta and salad",1,1.0,1.0,1.0,5.0,1.0,5.0,,
"pizza, pasta, garlic bread",1,1.0,1.0,1.0,1.0,1.0,1.0,,
"pizza, pasta, salad",1,,,1.0,1.0,1.0,5.0,,
"pizza, pasta, salad & brownies",1,1.0,5.0,1.0,5.0,1.0,5.0,,
"pizza, pasta, salad, chicken.",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"pizza, pasta, sides",1,,,1.0,5.0,1.0,5.0,5.0,
"pizza, pasta. doughballs",1,1.0,5.0,1.0,5.0,1.0,5.0,,
pizza/pasta deal,1,,,1.0,1.0,1.0,5.0,5.0,
pizzas,1,,,1.0,5.0,1.0,5.0,5.0,
pizzas and pastas,1,,,1.0,5.0,1.0,5.0,5.0,
"pizzas, garlic bread",1,,,1.0,5.0,1.0,5.0,5.0,
poh,1,,,1.0,5.0,1.0,1.0,,
poke bowls,1,,,1.0,5.0,1.0,5.0,,5.0
prawn,1,,,1.0,5.0,1.0,5.0,5.0,
"prawn crackers, egg fried rice with chicken, wok-fried noodles with tofu, wok-fried noodles & veg & chicken, chicken & dried shrimp wok-fried rice",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
prawn curry,1,1.0,5.0,1.0,1.0,1.0,5.0,,
ramen,2,,,2.0,2.0,2.0,2.0,,
rasamalai - 3pcs paneer makhani garlic naan - 2pcs vegetable dosa aloo 65 masala,1,,,1.0,1.0,1.0,1.0,,
rashi curry with rice and chilli squid.,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
red curry,1,,,1.0,5.0,1.0,5.0,5.0,5.0
"red curry, pork with sticky rice and 1 other",1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,
"red curry, sticky chicken, spring roll, chick satay",1,1.0,5.0,1.0,5.0,1.0,5.0,,
"red curry, vegetable noodles, chicken pad thai, prawn crackers",1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
red thai,1,,,1.0,1.0,1.0,5.0,5.0,
remedy box,1,,,1.0,5.0,1.0,5.0,,5.0
rice and chicken,1,1.0,5.0,1.0,5.0,1.0,1.0,,
rice and chicken bowls,1,1.0,5.0,1.0,5.0,1.0,1.0,,
rice and noodles,2,,,2.0,5.0,2.0,2.0,2.0,
rice and noodles bowls,1,,,1.0,5.0,1.0,5.0,5.0,
rice bowl,2,1.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0
rice bowl and noodles,1,,,1.0,5.0,1.0,5.0,,5.0
rice bowl bundle,1,1.0,1.0,1.0,1.0,1.0,5.0,,
rice bowl x 4,1,1.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0
"rice bowl, noodles",1,1.0,5.0,1.0,5.0,1.0,5.0,,5.0
"rice bowl, noodles and tofu, soup",1,,,1.0,5.0,1.0,5.0,5.0,
rice bowls,9,5.0,5.0,9.0,4.0,9.0,4.0,2.0,1.0
"rice bowls (katsu, teriyaki)",1,,,1.0,5.0,1.0,5.0,5.0,
rice bowls meal deal,1,,,1.0,5.0,1.0,5.0,,
"rice bowls. soup, noodles",1,,,1.0,5.0,1.0,5.0,5.0,
rice box,1,,,1.0,5.0,1.0,5.0,5.0,
rice chicken,1,,,1.0,5.0,1.0,5.0,,
rice dishes - tofu teriyaki and vegatsu,1,1.0,5.0,1.0,5.0,1.0,5.0,,
"rice dishes, gyozas, and mochi",1,1.0,5.0,1.0,5.0,1.0,5.0,,
rice mix and match 4,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
rice noodle,1,1.0,5.0,1.0,5.0,1.0,5.0,,5.0
rice pots and gyoza,1,1.0,1.0,1.0,1.0,1.0,5.0,,
rice stir fry,1,1.0,1.0,1.0,1.0,1.0,5.0,5.0,
rice&noodles,1,,,1.0,1.0,1.0,1.0,,
"rice, garlic naan, black daahl, ruby chicken",1,,,1.0,5.0,1.0,5.0,5.0,
roast duck and chicken,1,,,1.0,5.0,1.0,5.0,5.0,
"rotisserie chicken, kale and pepper side dish, potatoes",1,,,1.0,5.0,1.0,1.0,5.0,
ruby,1,,,1.0,5.0,1.0,5.0,,
ruby chicken,16,5.0,4.0,16.0,5.0,16.0,4.0,2.0,
ruby chicken & black dhal,1,,,1.0,5.0,1.0,1.0,,
ruby chicken family deal woth dahl,1,,,1.0,5.0,1.0,5.0,5.0,
ruby chicken family meal  + naan,1,,,1.0,5.0,1.0,5.0,5.0,
ruby chicken for 4 plus naan and paratha,1,,,1.0,5.0,1.0,5.0,5.0,
ruby chicken meal,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
ruby chicken set,1,,,1.0,5.0,1.0,5.0,5.0,
"ruby chicken, black dahl, naan",1,,,1.0,5.0,1.0,5.0,5.0,
"ruby chicken, black dal",1,,,1.0,5.0,1.0,5.0,,
"ruby chicken, daal",1,,,1.0,5.0,1.0,5.0,5.0,
"ruby chicken, daal, rice",1,,,1.0,5.0,1.0,5.0,5.0,5.0
"ruby chicken, dal makhni",1,,,1.0,5.0,1.0,5.0,,
"ruby chicken, paneer chicken, chicken shawarma",1,,,1.0,5.0,1.0,5.0,5.0,5.0
ruby curry,9,3.0,3.0,9.0,4.0,9.0,2.0,2.0,
ruby curry family meal,1,,,1.0,5.0,1.0,5.0,,
ruby dinner,1,1.0,1.0,1.0,1.0,1.0,1.0,5.0,
ruby murray,1,,,1.0,5.0,1.0,5.0,,
ruby murray and side dishes,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"ruby murray, black dal, rice and papad",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
salad,1,,,1.0,1.0,1.0,1.0,,
"salads, rice boxes, chicken with potatoes & sides",1,,,1.0,5.0,1.0,1.0,5.0,5.0
salmon and health sushi options,1,,,1.0,5.0,1.0,5.0,5.0,5.0
salmon platters,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
salmon sushi dishes,1,,,1.0,5.0,1.0,5.0,,
satay chicken and kids nuggets,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
set menu for 4. teriyaki chicken and chicken rice,1,,,1.0,5.0,1.0,5.0,5.0,
"sharing pizza, 2x kids pizza, sharing cheesy garlic bread",1,,,1.0,5.0,1.0,5.0,5.0,
shawarma,5,1.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0
shawarma platter,1,,,1.0,5.0,1.0,5.0,,
sheperds pie,1,,,1.0,5.0,1.0,5.0,,
shepherd pie,1,,,1.0,5.0,1.0,5.0,,
shepherd's pie,2,,,2.0,2.0,2.0,5.0,2.0,
shepherds pie,6,3.0,5.0,6.0,5.0,6.0,4.0,3.0,1.0
shiitake mushroom shawarma,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
shiitake shawarma,1,,,1.0,5.0,1.0,5.0,,
"shiitake shwarma family meal, extra corn ribs and fries",1,,,1.0,5.0,1.0,5.0,5.0,
"side, pizza large and lasagna",1,,,1.0,5.0,1.0,5.0,5.0,
singapore noodles,1,,,1.0,5.0,1.0,5.0,,
small pots,1,1.0,5.0,1.0,5.0,1.0,5.0,,
some sort of chicken curry,1,1.0,5.0,1.0,5.0,1.0,1.0,,
soup noodles,1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0
"soups, egg fried rice, spring rolls",1,1.0,5.0,1.0,5.0,1.0,5.0,,
special fried rice,3,1.0,5.0,3.0,3.0,3.0,3.0,3.0,
spicy beef,1,,,1.0,5.0,1.0,5.0,,
spicy beef brisket noodle soup,1,,,1.0,5.0,1.0,5.0,,
spicy bundle,2,,,2.0,5.0,2.0,5.0,2.0,
spicy chicken pho x2 egg fried rice kids and chicken noodles kids,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
"spicy chicken pho, beef pho, chicken fried rice, chicken noodles",1,,,1.0,5.0,1.0,5.0,5.0,
"spicy chicken pho, child chicken pho, spicy brisket pho, child chicken and noodles",1,,,1.0,5.0,1.0,5.0,5.0,
"spicy chicken pho, spicy brisket pho, wok noodles with chicken, chicken noodle soup",1,,,1.0,5.0,1.0,5.0,5.0,
"spicy chicken pho, tofu pho, egg fried rice, wok fried veg",1,,,1.0,5.0,1.0,5.0,5.0,5.0
"spicy curry, pad thai, sticky chicken",1,1.0,5.0,1.0,5.0,1.0,5.0,,
sticky chicken,4,3.0,3.0,4.0,4.0,4.0,2.0,2.0,
sticky chicken /pad thai,1,1.0,5.0,1.0,5.0,1.0,1.0,,
sticky chicken and 2 children's meals,1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
sticky chicken and pad thai,1,,,1.0,5.0,1.0,5.0,,
sticky chicken bundle,1,,,1.0,5.0,1.0,5.0,5.0,
sticky chicken share cheeky sticky chicken child chicken pad thai,1,,,1.0,5.0,1.0,1.0,,
"sticky chicken, basil chicken, massaman",1,,,1.0,5.0,1.0,1.0,5.0,
"sticky chicken, chicken green curry, pag tai",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"sticky chicken, noodle and vegetables, chicken skewers",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"sticky chicken, noodles and jasmine rice",1,,,1.0,5.0,1.0,1.0,5.0,
"sticky chicken, pad thai and satay chicken",1,,,1.0,5.0,1.0,5.0,5.0,
"sticky chicken, pad thai, squid",1,1.0,1.0,1.0,5.0,1.0,5.0,,
"sticky chicken, rice",1,1.0,1.0,1.0,1.0,1.0,1.0,,
"sticky chicken, salt pepper squid",1,1.0,1.0,1.0,5.0,1.0,1.0,,
"sticky chicken, veggie fried noodles (kids), fried rice (kids)",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
sticky no chicken,1,,,1.0,5.0,1.0,1.0,5.0,
"sticky no chicken and rice, kids massaman, kids pad thai, thai crackers",1,,,1.0,5.0,1.0,5.0,5.0,
stir fry rice and noodles,1,,,1.0,1.0,1.0,1.0,5.0,
"stir fry, rice dishes",1,1.0,1.0,1.0,1.0,1.0,5.0,5.0,
straight from the wok - family deliveroo,1,,,1.0,1.0,1.0,5.0,5.0,
super veg bolognese rigatoni,3,3.0,5.0,3.0,3.0,3.0,3.0,1.0,
"supergreen falafel rice box, peas 'n' seeds, aioli chicken rice box, chilli chicken rice box, peanut satay chicken rice box, leon baked fries - regular, leon baked fries - regular, leon slaw - regular (vg)",1,,,1.0,5.0,1.0,5.0,,5.0
sushi,23,15.0,4.0,23.0,5.0,23.0,4.0,2.0,2.0
"sushi boxes  , ramens , noodles",1,1.0,1.0,1.0,1.0,1.0,1.0,5.0,
"sushi festival, salmon full house, health & happiness, and super salmon light",1,,,1.0,5.0,1.0,5.0,5.0,
sushi platter,1,,,1.0,5.0,1.0,5.0,5.0,5.0
sushi platters,1,,,1.0,5.0,1.0,5.0,,
sushi set for 2,1,1.0,1.0,1.0,1.0,1.0,5.0,,
sushi sets,1,,,1.0,5.0,1.0,5.0,5.0,
sweet and sour chicken and egg fried rice,1,1.0,1.0,1.0,1.0,1.0,1.0,,
sweet and sour chicken and rice,1,1.0,5.0,1.0,5.0,1.0,5.0,,
sweet and sour chicken family meal,1,,,1.0,1.0,1.0,5.0,,
tacos,1,,,1.0,5.0,1.0,1.0,,
teriyaki bowls,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
teriyaki chicken,1,1.0,5.0,1.0,5.0,1.0,5.0,,
teriyaki chicken and tofu,1,,,1.0,5.0,1.0,5.0,5.0,
teriyaki family set,1,1.0,1.0,1.0,5.0,1.0,5.0,,5.0
"teriyaki meatballs, chicken. thai meatballs and chicken. vege gyoza and 2 chicken gyoza",1,,,1.0,5.0,1.0,5.0,5.0,5.0
teriyaki rice,1,,,1.0,5.0,1.0,5.0,,5.0
"teriyaki, katsu, sweetcorn fritters",2,,,2.0,2.0,2.0,5.0,,
teryaki chicken,1,,,1.0,5.0,1.0,5.0,5.0,
"teryaki,katsu,firecracker",1,,,1.0,5.0,1.0,5.0,,
"teryiaki chicken, firecracker chicken",1,,,1.0,5.0,1.0,5.0,,
thai basil and shiitake rice / chicken thigh rice bowl / veg and tofu noodles / egg fried rice,1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
"thai chicken rice, korean noodle, chicken gyoza soup and chicken teriyaki rice",1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
thai green,1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,
thai green curry for 4,1,1.0,5.0,1.0,5.0,1.0,5.0,,5.0
"thai green curry sharer, kids massaman and kids satay chicken",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
thai red curry,1,,,1.0,5.0,1.0,5.0,,
the 2 chicken ones,1,,,1.0,5.0,1.0,5.0,5.0,
the caesar family style,1,,,1.0,5.0,1.0,5.0,,
the chicken biryani family meals,1,,,1.0,5.0,1.0,5.0,5.0,
the chicken curry,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
the chicken katsu curry,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
the chicken ruby order with daal and rice and we ordered additional food - pau bhaji as well,1,1.0,5.0,1.0,5.0,1.0,5.0,,
the chicken shawarma family bowl,1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0
the chilli and  fajita combination,1,,,1.0,5.0,1.0,5.0,,
the curry bundle,1,,,1.0,5.0,1.0,5.0,,
the curry with rice,1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0
"the family feeding thing: green thai curry, satay chicken with sticky rice and pad thai,",1,,,1.0,5.0,1.0,1.0,,
the family sticky chicken meals,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
the halloumi meal,1,,,1.0,5.0,1.0,5.0,,5.0
the healthy chicken shawarma,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
the pho soup bundle,1,,,1.0,5.0,1.0,1.0,,
the preselected option,1,,,1.0,5.0,1.0,5.0,,
the rice and chicken,1,1.0,5.0,1.0,5.0,1.0,5.0,,
the rice box for 4 meals deal,1,,,1.0,5.0,1.0,5.0,5.0,
the ruby chicken family meal,1,,,1.0,5.0,1.0,5.0,5.0,
the salmon sushi platters,1,,,1.0,5.0,1.0,5.0,5.0,5.0
"the sticky chicken shared main, and the kids meals were massaman curry and sticky chicken",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
the tofu family deal.,1,,,1.0,1.0,1.0,5.0,,
the tofu meal,1,,,1.0,5.0,1.0,5.0,5.0,
the vegetarian family platter,1,,,1.0,5.0,1.0,5.0,5.0,5.0
the yellow thai curry dinneroo and a katsu chicken curry,1,1.0,5.0,1.0,5.0,1.0,5.0,,
their curry family meal,1,,,1.0,5.0,1.0,5.0,5.0,
their salad and chicken rice bowl. plus egg fried rice  on the side!,1,,,1.0,5.0,1.0,5.0,5.0,5.0
tofu,1,,,1.0,5.0,1.0,5.0,,
"tofu & mushroom curries, vegetable noodles",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
tofu coconut curry,1,1.0,5.0,1.0,5.0,1.0,1.0,,
tofu coconut lemongrass curry,2,,,2.0,5.0,2.0,1.0,,
"tofu curries, egg fried rices and prawnless crackers.",1,,,1.0,5.0,1.0,5.0,,
tofu curry,2,1.0,5.0,2.0,5.0,2.0,5.0,2.0,2.0
tofu curry and tofu wok fried noodles,1,1.0,1.0,1.0,1.0,1.0,5.0,5.0,
tofu lemongrass curry,3,1.0,5.0,3.0,3.0,3.0,3.0,1.0,3.0
tofu pho / spicy tofu pho / tofu & noodles,1,,,1.0,5.0,1.0,5.0,,
tofu yellow rice curry,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
tomato and mozzarella pasta and pepperoni pizza with garlic bread,1,,,1.0,5.0,1.0,5.0,5.0,
"two adult curry and rice, one kids' chicken rice, one kids' chicken broth",1,1.0,1.0,1.0,5.0,1.0,5.0,,
two chicken curries a noodle dish and an egg fried rice,1,,,1.0,5.0,1.0,5.0,5.0,
"two curries, wok fried noodles and egg fried rice",1,,,1.0,5.0,1.0,5.0,5.0,
two pasta and garlic bread,1,,,1.0,5.0,1.0,5.0,,
two pho portions and two kids tofu noodle,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"two types of marinated chicken, roasted sweet potato, grains, rice, mac and cheese",1,,,1.0,5.0,1.0,5.0,5.0,5.0
variety,2,1.0,5.0,2.0,5.0,2.0,2.0,2.0,
various,2,2.0,5.0,2.0,5.0,2.0,5.0,2.0,
veg combo,1,,,1.0,5.0,1.0,5.0,5.0,
veg katsu,2,1.0,5.0,2.0,5.0,2.0,2.0,5.0,
veg packed bolognaise,1,,,1.0,5.0,1.0,5.0,5.0,5.0
veg rice bowl,1,,,1.0,1.0,1.0,5.0,,
vegan family meal,1,,,1.0,5.0,1.0,5.0,,
vegan katsu,4,1.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0
vegan katsu bowl & tofu bowl,1,1.0,5.0,1.0,5.0,1.0,5.0,,
vegan katsu curry,2,2.0,1.0,2.0,2.0,2.0,2.0,,
"vegan katsu, tofu rice bowl",1,,,1.0,5.0,1.0,5.0,,
vegan margarita pizza and tomato pasta,1,,,1.0,5.0,1.0,5.0,,
"vegan pizza, vegan garlic bread, kids margarita",1,1.0,1.0,1.0,1.0,1.0,5.0,5.0,
vegan shiitake mushroom,1,,,1.0,5.0,1.0,1.0,5.0,
vegatsu,1,,,1.0,5.0,1.0,5.0,5.0,5.0
"vegetable red curry, kids moo ping, chicken pad thaimoo",1,,,1.0,5.0,1.0,5.0,5.0,
vegetables green curry,1,1.0,5.0,1.0,5.0,1.0,5.0,,
vegetarian,1,1.0,1.0,1.0,5.0,1.0,5.0,,5.0
vegetarian and kids meals,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
vegetarian katsu curry,1,,,1.0,5.0,1.0,5.0,,
veggie fajitas,1,,,1.0,5.0,1.0,5.0,5.0,5.0
veggie katsu,1,,,1.0,1.0,1.0,1.0,,
veggie rice,1,1.0,5.0,1.0,5.0,1.0,5.0,,5.0
veggie wok party,1,1.0,1.0,1.0,1.0,1.0,1.0,,
vietnamese curry and small pho combo,1,,,1.0,5.0,1.0,5.0,,
"we had noodles combo with pho with a fried rice dish. same with banana tree, rice and noodles combination",1,,,1.0,5.0,1.0,1.0,5.0,
we ordered twice - do tried each of the options,1,,,1.0,5.0,1.0,5.0,5.0,
wings and fries,1,1.0,1.0,1.0,1.0,1.0,5.0,,
"wings, prawn crackers, massaman curry with rice and pad thai",1,,,1.0,5.0,1.0,5.0,5.0,
wok chicken,1,,,1.0,1.0,1.0,1.0,,
"wok fried noodles with chcihekn, chicken pad thai",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
wok noodles and rice,1,,,1.0,5.0,1.0,5.0,5.0,
"x2 pho noodles, egg fried rice, wok fried noodles and fresh juice",1,,,1.0,5.0,1.0,5.0,5.0,
x2 soup x2 rice,1,1.0,5.0,1.0,5.0,1.0,5.0,,5.0
yasai curry,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
yasai for 4,1,,,1.0,1.0,1.0,5.0,,
yasai katsu,9,2.0,5.0,9.0,5.0,9.0,4.0,3.0,1.0
yasai katsu curry,3,2.0,5.0,3.0,5.0,3.0,3.0,1.0,
"yasai katsu curry, vegetable/chicken raisu karee",1,,,1.0,5.0,1.0,5.0,,
yasai katsu family dinneroo,1,1.0,1.0,1.0,5.0,1.0,1.0,5.0,
yellow curry family meal,1,,,1.0,5.0,1.0,1.0,,5.0
yes,1,1.0,5.0,1.0,5.0,1.0,5.0,,
