dish_type,cuisine,on_dinneroo,mapped_cuisine,non_dinneroo_orders,gap_signal,dinneroo_available_in_cuisine,latent_mentions,wishlist_pct,gap_type,gap_score,order_volume,avg_rating,kids_happy,kids_score,rating_score,open_text_requests,og_wishlist_pct,latent_demand_score,orders_per_zone_SCORE,rating_SCORE,kids_happy_SCORE,non_dinneroo_SCORE,latent_raw,latent_demand_SCORE,PERFORMANCE_60pct,DEMAND_40pct,UNIFIED_SCORE,strategic_priority,rank
Greek Mezze,Greek,False,greek,1890.0,Low,No,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,3.0,0.0,2.0,2.166666666666667,2.5,2.3,Deprioritised,36
Chicken Pie,British,True,british,3087.0,Medium,No,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,3.0,0.0,2.0,2.166666666666667,2.5,2.3,Deprioritised,37
Buddha Bowl,Healthy/Fresh,False,healthy,1594.0,Available,Yes,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,2.0,0.0,2.0,2.166666666666667,2.0,2.1,Deprioritised,38
Veggie Fajitas,Mexican,True,mexican,972.0,Low,No,0,0.0,Quality Gap,4,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,2.0,0.0,2.0,2.166666666666667,2.0,2.1,Deprioritised,39
Burrito,Mexican,False,mexican,972.0,Low,No,0,0.0,Quality Gap,4,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,2.0,0.0,2.0,2.166666666666667,2.0,2.1,Deprioritised,40
Quesadilla,Mexican,True,mexican,972.0,Low,No,0,0.0,Quality Gap,4,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,2.0,0.0,2.0,2.166666666666667,2.0,2.1,Deprioritised,41
Wrap,Global,True,,25.0,Medium,Yes,2,0.0,No Gap,2,0.0,4.0,0.75,,,2,0.0,1,2.0,2.0,3.0,1.0,2.0,3.0,2.166666666666667,2.0,2.1,Deprioritised,42
Bowl,Healthy/Fresh,True,healthy,1594.0,Available,Yes,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,2.0,0.0,2.0,2.166666666666667,2.0,2.1,Deprioritised,43
Grain Bowl,Healthy/Fresh,True,healthy,1594.0,Available,Yes,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,2.0,0.0,2.0,2.166666666666667,2.0,2.1,Deprioritised,44
Sweet & Sour Chicken,Global,True,,25.0,Medium,Yes,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,1.0,0.0,2.0,2.166666666666667,1.5,1.9000000000000001,Deprioritised,45
Grilled Chicken with Sides,Global,True,,25.0,Medium,Yes,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,1.0,0.0,2.0,2.166666666666667,1.5,1.9000000000000001,Deprioritised,46
Halloumi Wrap,Global,True,,25.0,Medium,Yes,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,1.0,0.0,2.0,2.166666666666667,1.5,1.9000000000000001,Deprioritised,47
Rotisserie Chicken,Global,False,,25.0,Medium,No,0,0.0,No Gap,2,0.0,4.0,0.75,,,0,0.0,1,2.0,2.0,3.0,1.0,0.0,2.0,2.166666666666667,1.5,1.9000000000000001,Deprioritised,48
