response_id,source_file,dish_text_raw,mapped_dish_type,mapping_method,is_family_survey,child_reaction_values,is_full_and_happy,included_in_denominator
245,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu meal,Katsu,anna_map,True,They ate all parts of the dish and were full and happy,1,1
244,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pizza x2 and frie,Pizza,keyword,True,They tried some parts but didn't eat much at all|They tried some parts but didn't eat much at all,0,1
246,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Pad Thai, firecracker noodles, Singapore laska",Rice Bowl,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
247,POST_ORDER_SURVEY-CONSOLIDATED.csv,Lasagne,Lasagne,anna_map,False,,0,0
248,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
251,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
250,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken curry and dhal,South Asian / Indian Curry,anna_map,False,,0,0
249,POST_ORDER_SURVEY-CONSOLIDATED.csv,I cant remember,,unmapped,True,They tried some parts but didn't eat much at all,0,0
253,POST_ORDER_SURVEY-CONSOLIDATED.csv,curry,Katsu,anna_map,False,,0,0
254,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
255,POST_ORDER_SURVEY-CONSOLIDATED.csv,4 noodles and chicken,Noodles,anna_map,False,,0,0
257,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Chicken pad kra pao, Moo Ping, Massaman Curry",East Asian Curry,anna_map,True,,0,0
258,POST_ORDER_SURVEY-CONSOLIDATED.csv,Vegan shiitake mushroom,Shawarma,anna_map,False,,0,0
256,POST_ORDER_SURVEY-CONSOLIDATED.csv,4 x chow mein with sweet chilli chicken,Noodles,anna_map,False,,0,0
259,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken Katsu Curry bowl,Katsu,anna_map,False,,0,0
260,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pad Thai family meal,Noodles,anna_map,True,"They ate some parts of the dish, but were full and happy",1,1
261,POST_ORDER_SURVEY-CONSOLIDATED.csv,Green curry rice massaman curry crackers,East Asian Curry,anna_map,True,"They ate some parts of the dish, but were full and happy|They ate all parts of the dish and were full and happy|They ate some parts of the dish, but not as much as I wanted",1,1
262,POST_ORDER_SURVEY-CONSOLIDATED.csv,various,Chilli,anna_map,True,They ate all parts of the dish and were full and happy,1,1
263,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
264,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
265,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Ordered twice, once Spicy chicken pho x2 & second time. vermicelli chicken thigh bowl and the chicken salad",Rice Bowl,anna_map,False,,0,0
266,POST_ORDER_SURVEY-CONSOLIDATED.csv,4,Rice Bowl,anna_map,True,They tried some parts but didn't eat much at all|They tried some parts but didn't eat much at all|They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
267,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
268,POST_ORDER_SURVEY-CONSOLIDATED.csv,Awadhi jackfruit biryani,Biryani,anna_map,False,,0,0
269,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chichen curry,East Asian Curry,anna_map,True,"They ate some parts of the dish, but not as much as I wanted|They tried some parts but didn't eat much at all",0,1
270,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Ruby chicken, daal, rice",South Asian / Indian Curry,anna_map,True,,0,0
252,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
272,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
271,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Amba Chicken, Farmer Grains, Sweet Potato, Mac and Cheese, Miso Aubergine",Grain Bowl,anna_map,False,,0,0
243,POST_ORDER_SURVEY-CONSOLIDATED.csv,the chicken biryani family meals,Biryani,anna_map,False,,0,0
273,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Rice, garlic naan, black daahl, ruby chicken",South Asian / Indian Curry,anna_map,False,,0,0
274,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu curry for 4,Katsu,anna_map,True,"They ate some parts of the dish, but not as much as I wanted",0,1
275,POST_ORDER_SURVEY-CONSOLIDATED.csv,Beef brisket pho noodle soup,Pho,anna_map,True,"They ate some parts of the dish, but were full and happy",1,1
276,POST_ORDER_SURVEY-CONSOLIDATED.csv,It's a curry night,Fried Rice,anna_map,False,,0,0
277,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken ruby,South Asian / Indian Curry,anna_map,True,"They ate some parts of the dish, but not as much as I wanted|They didn't try any of it",0,1
278,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu curry,Katsu,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
279,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chicken Curry with rice,South Asian / Indian Curry,anna_map,False,,0,0
285,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
283,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Egg fried rice with chicken, wok-fried noodles with chicken, spicy beef brisket pho noodle soup, spicy chicken pho noodle soup, prawn crackera",Fried Rice,anna_map,True,"They ate all parts of the dish and were full and happy|They ate some parts of the dish, but not as much as I wanted|They ate all parts of the dish and were full and happy",1,1
282,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Red curry, pork with sticky rice and 1 other",East Asian Curry,anna_map,True,"They ate some parts of the dish, but were full and happy|They ate some parts of the dish, but were full and happy",1,1
284,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu curry,Katsu,anna_map,False,,0,0
286,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Curry, pad Thai",Rice Bowl,anna_map,False,,0,0
288,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
289,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
287,POST_ORDER_SURVEY-CONSOLIDATED.csv,Curry & Rice deal,East Asian Curry,anna_map,True,"They ate some parts of the dish, but were full and happy",1,1
292,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
291,POST_ORDER_SURVEY-CONSOLIDATED.csv,Chilli and fajitas,Chilli,anna_map,False,,0,0
293,POST_ORDER_SURVEY-CONSOLIDATED.csv,Family katsu chicken,Katsu,anna_map,True,They ate all parts of the dish and were full and happy,1,1
297,POST_ORDER_SURVEY-CONSOLIDATED.csv,haha,,unmapped,False,,0,0
