brand,item,cuisine,high_level_dish,granular_dish,protein
Pho,Pho the whole fam,Asian,Pho,Pho,Chicken Beef Tofu Mushroom
Milano,Family Favourites Feast,Italian,Pizza,Pizza,Pork
Milano,Family Pizza Feast,Italian,Pizza,Pizza,Pork
PizzaExpress,Family Favourites Feast,Italian,Pizza,Pizza,Pork
PizzaExpress,Family Pizza Feast,Italian,Pizza,Pizza,Pork
Prezzo,Family Dinneroo,Italian,Pizza,Pizza,Pork
Zaatar Rathmines,Pizza Feast ( Cheese & Zaatar manaeesh + Margharita pizza + hummus + tabouleh),Middle Eastern,Other,Other,Vegetarian
Itsu,poke'bowl family selection,Asian,Poke,Poke,Salmon Chicken Prawn
Cocotte,Family Feast One,Healthy,Protein & Veg,Protein & Veg,Chicken
Cocotte,Family Feast Two,Healthy,Protein & Veg,Protein & Veg,Chicken
Cocotte,Family Veggie Feast,Healthy,Protein & Veg,Protein & Veg,PB Chicken
Shaku Maku,Grill & Mezze Family Feast (Grilled Chicken + chicken rolls + fatoush salad + hummus + baba ghanoush with bread and rice),Middle Eastern,Protein & Veg,Protein & Veg,Chicken
Banana Tree,Mix n Match Rice Bowl Bundle For Four,Asian,Rice Bowl,Teriyaki Rice Bowl,Chicken Tofu
Banana Tree,Teriyaki Rice Bowl Bundle For Four,Asian,Rice Bowl,Teriyaki Rice Bowl,Chicken Tofu
Banana Tree,Firecracker Chicken Rice Bowl Bundle For Four,Asian,Rice Bowl,Other Rice Bowl,Chicken
Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,Asian,Rice Bowl,Other Rice Bowl,Chicken
Itsu,hot faves family bundle,Asian,Rice Bowl,Thai Rice Bowl Teriyaki Rice Bowl,Chicken
Itsu,little rice'bowls family bundle,Asian,Rice Bowl,Thai Rice Bowl Teriyaki Rice Bowl,Chicken
Kokoro,Kokoro Family Bundle,Asian,Rice Bowl,Teriyaki Rice Bowl Sweet Chilli Rice Bowl Sweet & Sour Rice Bowl Korean Chilli Rice Bowl,Chicken
LEON,Big Bundle for 4,Healthy,Grain Bowl,Grain Bowl,Falafal Black Bean Chicken
LEON,Family Favourites Feast,Healthy,Grain Bowl,Grain Bowl,Falafal Black Bean Chicken
Pho,Fresh from the wok,Asian,Rice Bowl,Other Rice Bowl,Tofu & Grilled Veg Chicken
Taste Of Hong Kong-DCN,Family Meal,Asian,Rice Bowl,Other Rice Bowl,Duck Pork Chicken
TUK TUK-SGroup,Korean Bulgogi and Steamed Rice,Asian,Rice Bowl,Other Rice Bowl,Beef
Xian Street Food,Honey Chicken Family Meal (Honey Chicken (main) + Curry Chicken + Fried Rice + boiled rice ),Asian,Rice Bowl,Other Rice Bowl,Chicken
