cuisine,core_category,level,performance_score,opportunity_score,unified_score,quadrant,zones_available,orders_per_zone,repeat_rate,performance_status
International,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Iranian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Lebanese,Middle Eastern,sub,,1.8,1.8,Watch,0,0.0,16.4,Insufficient zones
Latin American,Other,other,,1.8,1.8,Watch,0,0.0,14.7,Insufficient zones
Late Night Delivery,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Kosher,Other,other,,1.8,1.8,Watch,0,0.0,10.3,Insufficient zones
Korean,Asian,sub,,1.8,1.8,Watch,0,0.0,0.0,No data
Kids Menu,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
50% Off,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Katsu,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Just A Bite Away,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
June Free Delivery Weekend,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Juices,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Joe & The Juice,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Jamaican,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Jacket Potato,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Irish,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Gyros,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Grill,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Editions Bristol,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Fast Food,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Fish And Chips,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Fish,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Fine Dining,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Filipino,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Festive Grocery And Shopping Offers,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Festive Gifting,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Featured Restaurants,Other,other,,1.8,1.8,Watch,0,0.0,8.8,Insufficient zones
Family Meal Deals,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Greek,NEW,new,,1.8,1.8,Watch,0,0.0,0.0,No data
Family Favourites,Other,other,,1.8,1.8,Watch,0,0.0,10.9,Insufficient zones
Falafel,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
"Exclusive Offers, From Our Exclusive Restaurants",Other,other,,1.8,1.8,Watch,0,0.0,8.5,Insufficient zones
Ethiopian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Electricals,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Egyptian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Egg-Cellent Easter Deals,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Fish Shop,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Florists,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Flowers,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Free Delivery (Uk),Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Great For Lunch,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Great For Gifting,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Great British Bake Off,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Gluten Free,Other,other,,1.8,1.8,Watch,0,0.0,17.9,Insufficient zones
Gifting,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
German Doner Kebab,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
German,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Georgian,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Gelato,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Gcp-Refresh-Fastest-Delivery,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Fries,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Fried Chicken,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
Fresh Food,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
French Tacos,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
French,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
£7 Off Promotion,Other,other,,1.8,1.8,Watch,0,0.0,0.0,No data
