BRAND,ITEM_NAME,ITEM_DESCRIPTION
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
