region,cuisine,order_count,order_share,national_share,index_vs_national,regional_strength
Wales,British,114,3.08,2.84,108.4,Moderate
Wales,Halal,81,2.19,1.36,160.8,Strong
Wales,Chinese,79,2.13,3.81,56.0,Weak
Wales,Portuguese,79,2.13,3.09,69.0,Weak
Wales,Thai,67,1.81,2.53,71.5,Weak
Wales,Cantonese,62,1.68,0.12,1408.7,Strong
Wales,Greek,57,1.54,0.92,168.0,Strong
Wales,Dessert,44,1.19,1.03,115.2,Moderate
Wales,Burritos,39,1.05,0.42,248.0,Strong
Wales,German,39,1.05,0.87,121.5,Strong
Wales,Stir Fry,37,1.0,0.18,556.3,Strong
Wales,Middle Eastern,36,0.97,1.07,91.2,Moderate
Wales,Argentinian,33,0.89,0.05,1765.7,Strong
Wales,Health Conscious,33,0.89,0.06,1391.9,Strong
Wales,Turkish,30,0.81,1.1,73.9,Weak
Wales,Nachos,28,0.76,0.44,170.8,Strong
Wales,Restaurants Only On Deliveroo,28,0.76,0.09,844.2,Strong
Wales,African,26,0.7,0.11,655.1,Strong
Wales,Tacos,24,0.65,0.41,156.7,Strong
Wales,Sandwiches,22,0.59,1.12,53.0,Weak
Wales,Healthy,20,0.54,3.26,16.6,Weak
Wales,Noodles,18,0.49,0.27,177.4,Strong
Wales,Fine Dining,16,0.43,0.0,17335.9,Strong
Wales,Mexican,16,0.43,0.5,86.9,Moderate
Wales,Only On Deliveroo,15,0.41,0.15,272.0,Strong
Wales,Acai,12,0.32,0.08,431.6,Strong
Wales,Drinks,12,0.32,0.28,114.6,Moderate
Wales,Shopping,11,0.3,0.24,126.0,Strong
Wales,Bakery,10,0.27,1.37,19.7,Weak
Wales,Breakfast,10,0.27,0.96,28.2,Weak
Wales,Gyros,9,0.24,0.14,178.5,Strong
Wales,In-Store Prices – Selected Items,9,0.24,0.07,327.8,Strong
Wales,Korean,9,0.24,0.81,29.9,Weak
Wales,Ice Cream,8,0.22,0.09,228.5,Strong
Wales,Juices,8,0.22,0.86,25.1,Weak
Wales,Meal Deals,8,0.22,0.44,49.6,Weak
Wales,New To Deliveroo,8,0.22,0.24,91.4,Moderate
Wales,Mediterranean,7,0.19,0.42,45.0,Weak
Wales,Waffles,7,0.19,0.2,93.6,Moderate
Wales,Asian,6,0.16,3.42,4.7,Weak
Wales,Caribbean,6,0.16,0.39,41.8,Weak
Wales,Grill,6,0.16,0.16,103.2,Moderate
Wales,Hong Kongese,6,0.16,0.0,3586.7,Strong
Wales,Wraps,6,0.16,0.14,114.3,Moderate
Wales,Cakes,5,0.14,0.09,143.7,Strong
Wales,Coffee,5,0.14,0.44,30.4,Weak
Wales,Meat,5,0.14,0.1,134.0,Strong
Wales,Brunch,4,0.11,0.23,47.7,Weak
Wales,Gluten Free,4,0.11,0.22,49.8,Weak
Wales,Lebanese,4,0.11,0.81,13.4,Weak
Wales,Vegan Friendly,4,0.11,0.74,14.5,Weak
Wales,Western,3,0.08,0.02,356.2,Strong
Wales,Bangladeshi,2,0.05,0.01,608.3,Strong
Wales,Pancakes,2,0.05,0.03,181.5,Strong
Wales,Roast,2,0.05,0.01,1050.7,Strong
Wales,Steak,2,0.05,0.07,76.4,Weak
Wales,Afghan,1,0.03,0.02,120.4,Strong
Wales,Bubble Tea,1,0.03,0.43,6.3,Weak
Wales,Café,1,0.03,1.21,2.2,Weak
Wales,Milkshakes,1,0.03,0.19,14.1,Weak
Wales,Plus Offers July,1,0.03,0.0,722.3,Strong
