zone,zone_code,region,city,large_city,partners,cuisines_count,total_dishes,asian_dishes,italian_dishes,indian_dishes,healthy_dishes,mexican_dishes,middle_eastern_dishes,british_dishes,orders,avg_rating,cuisines_available,essential_cuisine_coverage,missing_essential_cuisines,missing_recommended_cuisines,dish_coverage,is_mvp,mvp_criteria_met,recruitment_priority
Carterton,CTTN,South England and Wales,Oxford,South East England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
EH2,EH2,Ireland and Scotland,Edinburgh,Scotland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Bradford Central,BRD1,North England,Leeds,North East and Yorkshire,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Royal Wootton Bassett,RWB,South England and Wales,Swindon,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
CCN01,CCN01,Ireland and Scotland,County Cavan,Regional Ireland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
BS04,BS04,South England and Wales,Bristol,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Saltaire,BRD2,North England,Leeds,North East and Yorkshire,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Isle of Wight - Cowes,IOWC,South England and Wales,Isle of Wight,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
EX1,EX1,South England and Wales,Exeter,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Fleetwood,FLW,North England,Preston,North West England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
BB1,BB1,North England,Blackburn,North West England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
West Bristol,WBRS,South England and Wales,Bristol,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
SA,SA,South England and Wales,Swansea,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
TS02,TS02,North England,Middlesbrough,North East and Yorkshire,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Carlisle,CRS,North England,Carlisle,North West England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Preston,PRSN,North England,Preston,North West England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Inkberrow,INK,North England,Birmingham,Midlands,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
ME01,ME01,South England and Wales,Maidstone,South East England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Waterford,WRTF,Ireland and Scotland,Waterford,Regional Ireland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
BH01,BH01,South England and Wales,Bournemouth,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
CLD02,CLD02,Ireland and Scotland,County Longford,Regional Ireland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Camborne,CBE,South England and Wales,Falmouth,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
SY01,SY01,South England and Wales,Shrewsbury,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
North Dundee,NDND,Ireland and Scotland,Fife & Perthshire,Scotland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Exeter West,EXEW,South England and Wales,Exeter,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Doncaster,DON,North England,Doncaster,North East and Yorkshire,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Solihull,SOL,North England,Birmingham,Midlands,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
CMO02,CMO02,Ireland and Scotland,County Mayo,Regional Ireland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Burghill,BRH,South England and Wales,Hereford,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Kirkcaldy,KKL,Ireland and Scotland,Fife & Perthshire,Scotland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Falmouth,FLM,South England and Wales,Falmouth,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
ME04,ME04,South England and Wales,Maidstone,South East England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Devizes,DEV,South England and Wales,Swindon,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Higham,HGH,South England and Wales,Maidstone,South East England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
East Dundee,EDND,Ireland and Scotland,Fife & Perthshire,Scotland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
NE02,NE02,North England,Newcastle,North East and Yorkshire,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Saint Austell,SAU,South England and Wales,Plymouth,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Shilton,SHLT,North England,Coventry,Midlands,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
CLE 2.00,CLE 2.00,Ireland and Scotland,County Leitrim,Regional Ireland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
North Wolverhampton,NWOL,North England,Birmingham,Midlands,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
CCL01,CCL01,Ireland and Scotland,Carlow,Regional Ireland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Burgh,BURG,North England,Carlisle,North West England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Dickens Heath,DKN,North England,Birmingham,Midlands,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Everton,EVER,South England and Wales,Bournemouth,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Leconfield,LECN,North England,Hull,North East and Yorkshire,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
GU03,GU03,Greater London,London,Commuter Belt South,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Tiverton,TIV,South England and Wales,Exeter,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Gloucester West,GLOW,South England and Wales,Cheltenham,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
TQ01,TQ01,South England and Wales,Torquay,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Outer Bradford 2,OBRD2,North England,Leeds,North East and Yorkshire,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Caerau,CAER,South England and Wales,Cardiff,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
EH1,EH1,Ireland and Scotland,Edinburgh,Scotland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
RG01,RG01,Greater London,Reading,Commuter Belt South,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Bangor County Down,BCD,Ireland and Scotland,Belfast,Regional Ireland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Lymm,LYMM,North England,Wigan,North West England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Warrington,WRG,North England,Wigan,North West England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Kilmarnock,KIL,Ireland and Scotland,Ayr,Scotland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
CF01,CF01,South England and Wales,Cardiff,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
LN02,LN02,North England,Lincoln,North East and Yorkshire,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
ME06,ME06,South England and Wales,Maidstone,South East England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
CC3,CC3,Ireland and Scotland,Cork,Regional Ireland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
GU02,GU02,Greater London,Camberley,Commuter Belt South,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Kilkenny,KLK,Ireland and Scotland,Kilkenny,Regional Ireland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Wellingborough,WELL,North England,Northampton,Midlands,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Kirkby,KRK,North England,Liverpool,North West England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
IV04,IV04,Ireland and Scotland,Inverness,Scotland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Blaydon,BDN,North England,Newcastle,North East and Yorkshire,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Crick,CRICK,North England,Coventry,Midlands,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Lancaster,LAN,North England,Lancaster,North West England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
DG03,DG03,Ireland and Scotland,Dumfries,Scotland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Heswall,HESW,North England,Birkenhead,North West England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Durkar,DRK,North England,Leeds,North East and Yorkshire,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Heysham,HEYS,North England,Lancaster,North West England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Swindon,SWI,South England and Wales,Swindon,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Runcorn,RUN,North England,Wigan,North West England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Aylesford,AYS,South England and Wales,Maidstone,South East England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Dover,DOV,South England and Wales,Canterbury,South East England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
DH03,DH03,North England,Durham,North East and Yorkshire,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Merthyr Tydfil,MTY,South England and Wales,Cardiff,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
West Dundee,WDND,Ireland and Scotland,Fife & Perthshire,Scotland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Perth,PER,Ireland and Scotland,Fife & Perthshire,Scotland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Topsham,TSHM,South England and Wales,Exeter,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
DY02,DY02,North England,Birmingham,Midlands,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Blackpool,BKPL,North England,Preston,North West England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
DT02,DT02,South England and Wales,Dorchester,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Chester,CST,North England,Birkenhead,North West England,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
TQ03,TQ03,South England and Wales,Torquay,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
CRN01,CRN01,Ireland and Scotland,County Roscommon,Regional Ireland,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
Eaton Bishop,EBS,South England and Wales,Hereford,South West and Wales,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
PE01,PE01,North England,Peterborough,Midlands,0,0,0,0,0,0,0,0,0,0,0,,[],0%,"['Japanese/Asian', 'Vietnamese', 'Indian', 'Italian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",0%,False,0,Low
