BRAND,ITEM_NAME,cuisine,dish_type,ITEM_DESCRIPTION
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Katsu Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"Four crispy, comforting Katsu Rice Bowls – choose from golden chicken or plant-based vegan katsu, all served with Jasmine rice and rich curry sauce. A feel-good favourite for the whole gang."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Thai/Southeast Asian,Japanese,"A family-pleasing combo of four Teriyaki Rice Bowls – your choice of tender chicken or golden tofu, glazed in our sticky-sweet teriyaki sauce. Fresh, flavourful, and made to share."
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
