cuisine,non_dinneroo_orders,unique_customers,avg_order_value,dinneroo_available,gap_signal,filter_applied,filter_rationale
Nigerian,72,42,33.01,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Russian,71,45,43.25,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Neapolitan,71,54,30.34,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Easter Groceries,71,40,30.47,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Brazilian,70,49,30.4,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Coffee,70,51,19.32,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
7MAR off,67,60,24.03,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Royally Good Offers,66,51,30.43,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Healthy eating groceries,63,33,28.7,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Plus Member Offers,62,34,24.37,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Convenience stores,59,40,21.15,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Quick Service Restaurants,58,42,27.67,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Wing Fest 2025,58,39,27.1,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Roasteries,57,42,33.89,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Restaurants in your area,57,43,30.49,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Jamaican,50,37,29.6,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Breakfast & Brunch,49,30,35.72,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Family Meal Deals,49,32,29.47,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Brunch,47,41,30.55,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Comfort food,46,35,37.08,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Sri Lankan,46,40,31.77,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Afghan,45,27,26.94,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Fast Food,43,26,26.47,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Bao,42,33,25.99,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Bo bun,41,35,33.61,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Pasta Evangelists 20% discount,41,30,30.31,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Healthy Eating 2025,40,32,41.86,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Gelato,39,26,21.76,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Pancakes,35,20,23.77,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Just a bite away,35,29,27.47,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Spanish,34,32,42.62,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Veganuary,34,27,26.79,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
"Exclusive offers, from our exclusive restaurants",33,29,35.01,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Pie,31,27,26.56,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Spring Summer Free Delivery,30,22,24.2,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Pickup Deals,30,24,32.73,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Donuts,30,29,22.68,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Sweet Treats,29,26,21.7,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Deliveroo Students Offers,29,22,27.68,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
win with coca-cola,28,19,31.93,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Soup,28,20,29.56,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Cookies,25,23,18.86,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Waitrose,25,13,26.26,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Plus April,25,17,25.03,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
